author,title,imprint,nationality,date,htid
"Postman, Leo Joseph.",Degree of learning and interserial interference in retention;,"University of California Press, 1959.",cau,1959,uva.x000540599
"Household, Geoffrey",The sending,London|M. Joseph|c1980.,uk,1980,uc1.b4938181
"Compton, D. G. (David Guy),",The steel crocodile / | $c: D.G. Compton.,New York|Pocket Books|1980.,nyu,1970,pst.000012674534
"Hawthorne, Nathaniel,",The scarlet letter. | $c: Edited with an introd. and notes by Harry Levin.,Boston|Houghton Mifflin|1960,mau,1850,mdp.39076006238690
"Martone, Michael.",Alive and dead in Indiana : | stories / | $c: by Michael Martone.,New York|Knopf|1984.,nyu,1984,uc1.b4464380
"Cox, Florence Tinsley",The chronicles of Rhoda,"Boston;Small, Maynard & c",,1909,mdp.39015063544459
,The James Sprunt studies in history and political science.,"The University, [1900]-©2000.",ncu,1942,osu.32435021329883
"Whyte-Melville, G. J. 1821-1878.","The Brookes of Bridlemere, by G.J. Whyte-Melville ...","Ward, Lock, & Co., Limited, [1903]",nyu,1864,uc2.ark:/13960/t9j38s216
"Shemin, Margaretha",The little riders,Coward-McCann|1963,,1963,uc1.b3189834
Omar Khayyam.,The Rubāīyāt of Omar Khayyām / translated into English verse by Edward Fitzgerald ; with illustrations photographed from life studies by Adelaide Hanscom and Blanche Cumming.,"Dodge Publishing Co., 1912.",nyu,1912,coo1.ark:/13960/t79s2b879
"Brown, George, of Dallas. [from old catalog]","Occult psychology,",The Psychological society [c1919],txu,1919,loc.ark:/13960/t0vq44d0b
"Byron, Gilbert",Done crabbin' : Noah leaves the river,Baltimore|Johns Hopkins U,us,1990,uc1.b4381449
"Bishop, Joseph Bucklin, 1847-1928.","Our political drama, conventions, campaigns, candidates / by Joseph Bucklin Bishop ; with numerous illustrations and reproductions from caricatures.","Scott-Thaw, 1904.",nyu,1904,uiug.30112075972304
"McKnight, Reginald,",Moustapha's eclipse / | $c: Reginald McKnight.,Pittsburgh|University of Pittsburgh Press|c1988.,pau,1988,mdp.39015013302651
United States. Congress. House. Committee on Science and Astronautics.,"Federal policy, plans, and organization for science and technology; interim staff report . . . Ninety-third Congress, second session . . .","U.S. Govt. Print. Off., 1974.",dcu,1974,uc1.a0000094250
"Brock, William Ranulf.",The evolution of American democracy [by] William R. Brock.,"Dial Press, 1970.",nyu,1970,mdp.39015046456201
"Street, Cecil J. C. (Cecil John Charles),","Death of an author, | $c: by John Rhode [pseud.]","New York|Dodd, Mead|1948.",nyu,1948,mdp.39015063959400
"Churchill, Winston, Sir",The crisis,New York;The Macmillan co,,1901,uc2.ark+=13960=t5m904803
,Life in the United States; a collection of narratives of contemporary life from first-hand experience or observation,New York|C. Scribner's|19,us,1933,mdp.39015073446323
"Freeman, Frank N. 1880-1961",The psychology of the common branches / by Frank Nugent Freeman.,"Houghton Mifflin Company, [c1916]",mau,1916,coo1.ark:/13960/t20c5j83p
"Jackson, John Collins, 1848-1909.",Grant's strategy : and other addresses / by John Collins Jackson.,"The American issue publishing company, 1910.",ohu,1910,uc1.$b282111
"Manfred, Frederick Feikema,","Apples of paradise, | and other stories | $c: [by] Frederick Manfred.",New York|Trident Press|1968,nyu,1968,uc1.b3710884
"Münsterberg, Hugo, 1863-1916.","Psychology and industrial efficiency, by Hugo Münsterberg.","Houghton Mifflin company, 1913.",mau,1913,mdp.39015011043877
"Martin, William T., 1938-",Motivation and productivity in public sector human service organizations / William T. Martin.,"Quorum Books, c1988.",nyu,1988,inu.39000009168670
"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman,",New York|The Odyssey press|c1940,nyu,1813,mdp.39015003496737
,Aspen Institute readings / edited by Martin Krasney ; with commentary on texts and authors by Sidney Hyman.,"Aspen Institute for Humanistic Studies, 1977.",nyu,1977,mdp.39015025961270
"Merrill, Kenneth E",Plant location and community changes,Lawrence|Center for Resea,,1961,mdp.39076005945360
"Derleth, August William,",The sleeping & the dead; | thirty uncanny tales selected | $c: by August Derleth.,Chicago|Pellegrini & Cudahy|1947,ilu,1947,uc1.b3543046
"Hand, Samuel B., 1931-",Counsel and advise : a political biography of Samuel I. Rosenman / Samuel B. Hand.,"Garland Pub., 1979.",nyu,1979,mdp.39015000690993
"Faulkner, William,",The town / | $c: William Faulkner.,New York|Random House|1957.,nyu,1957,mdp.39015003343897
"Miller, Isabel,","Patience and Sarah, | $c: by Isabel Miller.","New York|McGraw-Hill Book Company|1972, c1969.",nyu,1969,mdp.39015000611353
"Wren, Percival Christopher",The uniform of glory,Philadelphia|Macrae-Smith,uk,1941,uc1.$b63994
"Shurter, Edwin Du Bois, 1863-1946.","Both sides of 100 public questions briefly debated; with affirmative and negative references, by Edwin Du Bois Shurter and Carl Cleveland Taylor.","Hinds, Noble & Eldredge, [c1913]",nyu,1913,coo1.ark:/13960/t1gj0px7p
"Park, Sunju.",The p-strategy : an adaptive agent bidding strategy based on stochastic modeling for continuous double auctions.,1999,miu,1999,mdp.39015043233173
"Randall, Rona,",Dragonmede / | $c: Rona Randall.,New York|Simon and Schuster|c1974.,nyu,1974,mdp.39015058727390
"Mahan, A. T. 1840-1914",The gulf and inland waters / by A. T. Mahan.,"Chas, Scribner's sons, 1912.",nyu,1912,chi.39387805
"Soule, George Henry, 1887-1970.","The strength of nations, a study in social theory, by George Soule ...","The Macmillan Company, 1942.",nyu,1942,mdp.39015021278430
"Baker, Dorothy",Our gifted son,Boston|Houghton Mifflin C,us,1948,uc1.b3346167
"Sherwood, Robert E. 1896-1955.","Roosevelt and Hopkins, an intimate history.",Harper [1948],nyu,1948,mdp.39015004716604
"Columbia Broadcasting System, inc.","Exact measurements of the spoken word, 1902-1936 / Columbia Broadcasting System.","CBS, 1936.",nyu,1936,uiug.30112114046227
"Gordin, Harry Mann, 1854-1923.","Science, truth, religion and ethics as foundations of a rational philosophy of life, by Harry Mann Gordin.",C.H. Kerr [c1924],ilu,1924,wu.89094584893
"Macquoid, Katharine Sarah",Lost Rose. And other stories,London;1876.,uk,1876,uiuo.ark+=13960=t6xw5180p
"Ramonda, Robert Joseph.",The concepts of liberty and justice of children in four public school grades / by Robert Joseph Ramonda.,1960,cau,1960,uc1.c3474185
,Bulletin / New York State Museum and Science Service.,"University of the State of New York, 1956-1974.",nyu,1921,mdp.39015006846037
"[Berry, Frederick Forrest]","The torch of reason; or, Humanity's god.","The Torch of Reason, publishers, 1912.",nyu,1910,uc2.ark:/13960/t1td9pr9j
"McGovern, William Montgomery, 1897-",From Luther to Hitler : the history of fascist-nazi political philosophy / William Montgomery McGovern.,"Houghton Mifflin, 1941.",mau,1941,mdp.39015002721721
"La Baere, Cl??mence de. [from old catalog]",Fables and symbols,"Sacramento, Cal.;1905.",fr,1905,loc.ark+=13960=t81j9wc5b
"George, Henry, 1839-1897.","Social problems, by Henry George ...","Doubleday & McClure Co., 1900.",nyu,1900,coo1.ark:/13960/t2r50605s
"Adkins, A. W. H.","From the many to the one; a study of personality and views of human nature in the context of ancient Greek society, values, and beliefs [by] A. W. H. Adkins.",Cornell University Press [1970],nyu,1970,uc1.b3923434
"Odion-Akhaine, Sylvester",Another woman of substance,"Bariga, Lagos State|Panaf",ni,2000,inu.30000077060451
